algorithm,run,library,parsimony,maxsize,dof,n_terms,MSE_train,MSE_val,MSE_test,R2_val,R2_test,ATE,ate_grade,equation
PySR,run_1,Full,0.001,25,a_x,5,39.29612639355167,24.55263873326068,24.909146364355074,0.9823300102659467,0.9795782800015403,3.268954668700475,F,(sin_ez + vy)*12.403117
PySR,run_1,Full,0.001,25,a_y,7,59.52262489236697,33.0812750119349,29.065713259649506,0.9769260118721454,0.9772937058188299,1.2577442877184644,F,az - 11.64363*(cos_ez + vx)
PySR,run_1,Full,0.001,25,a_z,5,8.191088503380586,6.567647018337175,6.292815583412084,0.6733666921616076,0.5946557676807083,0.6765733326123601,F,(-alphax + ay)*0.1043556
PySR,run_2,Full,0.001,25,a_x,5,53.89810574709713,31.99744379131232,44.342288567353165,0.9741961928333346,0.9691734766189811,2.8146360562811332,F,(sin_ez + vy)*13.14202
PySR,run_2,Full,0.001,25,a_y,7,50.1847037617259,38.71834279086847,71.81970042237676,0.9672642395569709,0.9441377524650162,1.8858593412221172,F,cos_ez*(-14.443049) - 12.798891*vx
PySR,run_2,Full,0.001,25,a_z,3,13.541247029251858,9.629368062345778,19.343860003955015,0.331215383386918,0.0030641262237181,0.35310348392019425,D,ay*0.06841315
PySR,run_3,Full,0.001,25,a_x,7,25.777066078291327,40.29813647429589,191.30810751618603,0.9694055754812672,0.6129498629888077,1.6326104409738074,F,sin_ez/0.057076544 + vy/0.07475145
PySR,run_3,Full,0.001,25,a_y,9,32.77480208299114,52.275436035025855,118.71315675233946,0.9598881652722987,0.6765555211725772,1.0889892901467224,F,-cos_ez/0.085841745 + vx/(-0.08385079) - 1*(-0.23082295)
PySR,run_3,Full,0.001,25,a_z,3,10.77887370763431,10.796521704253797,18.743597597280925,-0.8136063078098885,-0.02368429353023105,0.0553452293583274,C,ay*0.087150045
PySR,run_4,Full,0.001,25,a_x,7,33.29014746909338,25.754303032278727,77.85955169620969,0.9785608894310931,0.09396137379451763,1.2940045641306643,F,(sin_ez + vy)/0.08045291 + 0.40848327
PySR,run_4,Full,0.001,25,a_y,7,38.74556834899582,16.755085472258774,53.07612920988268,0.9845738003299098,0.5413385396860847,0.2911509040572659,D,0.018582169 - (cos_ez + vx)/0.093149275
PySR,run_4,Full,0.001,25,a_z,3,6.7816550999760885,5.3439163656981,3.4903802076575574,0.4076596217383014,0.11125224577175508,0.2801182701683715,D,ax*(-0.06188421)
PySR,run_5,Full,0.001,25,a_x,7,37.18342256912979,33.73200710608187,52.27698643389917,0.9730631727419224,0.9574512514749182,1.420229661658158,F,sin_ez/0.058388375 - vy/(-0.07497504)
PySR,run_5,Full,0.001,25,a_y,7,32.374699562688086,17.599984631163668,26.841883328093157,0.9842246944318361,0.9784246219908308,0.5594075848379102,F,12.001273*(cos_ez*(-0.99980676) - vx)
PySR,run_5,Full,0.001,25,a_z,3,8.109659102108168,9.113536735599084,8.843187842211039,0.2799296731898189,0.3740112104434432,0.09133431284471347,C,ax*(-0.086797036)
Hybrid PySR,pooled,Full,0.001,25,a_x,5,45.062985875416416,42.271942584570006,39.18721357108616,0.9678119071761894,0.9722269685060823,22.725541324275355,F,(sin_ez + vy)*12.493317
Hybrid PySR,pooled,Full,0.001,25,a_y,7,53.30962279751439,44.94155929412124,27.632888242706052,0.9622356506430776,0.9793173877922913,50.33412493595726,F,(cos_ez - (-0.98209065)*vx)*(-12.43912)
Hybrid PySR,pooled,Full,0.001,25,a_z,5,11.226464156171717,18.073525392291785,33.14748211888802,-0.7942531613384358,-0.9630315976541055,15.6700209788192,F,alphax*(-0.14545076) - vx
PySR,run_1,Full,0.001,35,a_x,5,39.979515893875,21.81760572282664,21.300032923585093,0.984298352884502,0.9825372053316975,3.2711181294279337,F,(sin_ez + vy)/0.082423575
PySR,run_1,Full,0.001,35,a_y,7,49.12438344203172,30.598367453638627,27.53377480913353,0.9786578247935646,0.9784904645157221,1.3874548341333934,F,(cos_ez + vx)*(wz - 4.340352)
PySR,run_1,Full,0.001,35,a_z,21,5.557231558164296,4.886604356598433,4.688958760849393,0.756971143449582,0.6979662975817338,0.8334785324292958,F,-(-0.6297002)*ay + wy + (-alphax - 0.74409884)*0.32160875 + (ay + sin_ex)*(-0.5326171) - 1*1.4812795 - 0.04126229
PySR,run_2,Full,0.001,35,a_x,5,53.74693477215786,30.510262221558666,43.49682113744481,0.9753955057127641,0.9697612410835141,2.7238702145707427,F,(sin_ez + vy)*13.05904
PySR,run_2,Full,0.001,35,a_y,9,50.51536622636653,38.51477976052052,69.20528092734885,0.9674363489530915,0.9461712801479865,1.104537465102098,F,vx*(-12.698839) - (-cos_ez/(-0.074794024) - 0.27625585)
PySR,run_2,Full,0.001,35,a_z,5,10.903432783294493,9.063458941360572,18.315112840252933,0.3705192413416153,0.05608327298814453,0.07314555705071167,C,(-alphax + ay)*0.08116606
