sep=,
DeviceTag:,OR
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-09-03_20:42:29_000 PDT
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Status
2255,1100073006,-26.58355522155762,2.76474928855896,-37.00635910034180,0.99928379058838,0.00155738648027,0.01554223243147,-0.03446539118886,-0.33143419027328,0.00707620382309,0.00538140535355,-39.79404830932617,-0.52173537015915,0.02665853500366,21.42157173156738,213.78062438964844,-474.06530761718750,0.66088867187500,0.33276367187500,-1.80004882812500,0
2256,1100081339,-26.69358253479004,2.73703980445862,-41.24100494384766,0.99931806325912,0.00221016537398,0.01566910371184,-0.03336091712117,-0.28849756717682,0.08568024635315,0.00927448272705,-34.96585464477539,9.12481021881104,0.54660886526108,30.40007972717285,215.52323913574219,-458.86816406250000,0.69824218750000,0.38110351562500,-1.77685546875000,0
2257,1100089672,-26.50089836120605,2.64253187179565,-45.34027862548828,0.99935573339462,0.00296062510461,0.01526033971459,-0.03234907984734,-0.26298320293427,0.08270466327667,0.03149181604385,-31.92456817626953,8.91041660308838,3.26713562011719,40.72189712524414,209.89822387695312,-444.94515991210938,0.73266601562500,0.42773437500000,-1.75366210937500,0
2258,1100098005,-26.45222282409668,2.63286066055298,-49.38768386840820,0.99937301874161,0.00347907934338,0.01487893983722,-0.03193958103657,-0.25798231363297,0.06456643342972,0.07432335615158,-31.32675933837891,6.78566598892212,8.43068218231201,47.85269165039062,204.65106201171875,-439.31018066406250,0.77172851562500,0.47534179687500,-1.73217773437500,0
2259,1100106338,-26.17373657226562,2.55453634262085,-53.41505432128906,0.99937582015991,0.00362074095756,0.01494970545173,-0.03180265799165,-0.25851505994797,0.04145538806915,0.10520946979523,-31.35769653320312,4.02949428558350,12.14315032958984,49.80112075805664,205.62420654296875,-437.42645263671875,0.79492187500000,0.53027343750000,-1.71630859375000,0
2260,1100114671,-26.12146759033203,2.59434747695923,-57.50537872314453,0.99935984611511,0.00346065778285,0.01518795825541,-0.03220583498478,-0.28272682428360,0.04368150234222,0.11497986316681,-34.29311370849609,4.19214296340942,13.26386642456055,47.59952926635742,208.90235900878906,-442.97430419921875,0.81884765625000,0.57617187500000,-1.69067382812500,0
2261,1100123004,-25.86865234375000,2.53469204902649,-61.62758255004883,0.99934720993042,0.00341592822224,0.01528213545680,-0.03255726769567,-0.32159280776978,0.03195333480835,0.09699565172195,-38.87919235229492,2.61359953880310,11.03677654266357,46.98448562622070,210.19859313964844,-447.80990600585938,0.83374023437500,0.63549804687500,-1.66845703125000,0
2262,1100131337,-25.79302787780762,2.60186719894409,-65.78529357910156,0.99933815002441,0.00367732811719,0.01541372481734,-0.03274393454194,-0.35116744041443,0.02422207593918,0.06420838832855,-42.33761596679688,1.55175614356995,7.04546928405762,50.58007049560547,212.00918579101562,-450.37878417968750,0.84765625000000,0.68920898437500,-1.64086914062500,0
2263,1100139670,-25.45886993408203,2.59222888946533,-69.95925903320312,0.99932819604874,0.00416606571525,0.01566023752093,-0.03287198022008,-0.36090016365051,0.02953439950943,0.04876130819321,-43.49898529052734,2.14141821861267,5.15928888320923,57.30265045166016,215.40061950683594,-452.14160156250000,0.85839843750000,0.74511718750000,-1.62524414062500,0
2264,1100148003,-25.29078292846680,2.74438881874084,-74.16727447509766,0.99931859970093,0.00462388154119,0.01587426662445,-0.03299871087074,-0.36321783065796,0.06511515378952,0.05364298820496,-43.92864990234375,6.40014028549194,5.70945549011230,63.59992218017578,218.34512329101562,-453.88601684570312,0.85546875000000,0.79467773437500,-1.59985351562500,0
2265,1100156336,-24.87373542785645,2.78027176856995,-78.38602447509766,0.99931013584137,0.00501255970448,0.01587079837918,-0.03319967538118,-0.35057026147842,0.11475771665573,0.06557339429855,-42.63341903686523,12.40622234344482,7.13142585754395,68.94625091552734,218.29804992675781,-456.65155029296875,0.85913085937500,0.84716796875000,-1.59790039062500,0
