dof,algorithm,run,library,optimizer,threshold,ATE,R2_val,R2_test,MSE_test,n_terms,tradeoff_score,equation
a_y,SINDy,run_5,UC,LASSO,0.05,0.3012928560669918,0.9742349603620633,0.9790655317299785,29.60617588717752,5,0.15656565656565657,16.5556 sin(phi)*cos(psi) + -20.9584 sin(theta)*sin(psi) + 0.4404 xdot*wz + 0.2557 sin(theta)*ydot*wy + 0.7221 cos(theta)*xdot*wz
a_y,SINDy,run_5,UC,ElasticNet,0.01,0.1622510843396955,0.9797626161529844,0.9872375050571413,18.049117138483744,35,0.16666666666666666,0.2939 sin(psi) + 0.4256 sin(phi)*cos(phi) + 39.4208 sin(phi)*cos(psi) + 0.4237 cos(phi)*sin(psi) + -23.1225 sin(theta)*sin(psi) + 0.7575 cos(theta)*sin(psi) + -1.5621 sin(psi)*cos(psi) + -0.0131 xdot*wx + -0.0475 xdot*wy + 0.3696 xdot*wz + -1.3341 wy*wy*z + -0.0558 wz*wz*y + -0.0130 wz*wz*z + -0.3655 wx*wy*y + -0.3961 wx*wy*z + 0.0455 wy*wz*x + 0.0988 wy*wz*z + 0.1018 alphay*z + -0.1326 alphaz*x + -0.3562 alphaz*y
a_y,SINDy,run_5,UC,LASSO,0.005,0.1851956936162035,0.9801284950284488,0.987315746259549,17.938465997493225,34,0.16666666666666666,1.0615 sin(psi) + 0.1834 sin(phi)*cos(phi) + 38.8293 sin(phi)*cos(psi) + 0.0008 cos(phi)*sin(psi) + -21.7370 sin(theta)*sin(psi) + 0.2851 cos(theta)*sin(psi) + -1.6938 sin(psi)*cos(psi) + -0.2249 xdot*wy + 1.2013 xdot*wz + -1.3588 wy*wy*z + -0.0540 wz*wz*z + -0.1816 wx*wy*y + -0.0120 wx*wy*z + 0.0490 wy*wz*x + 0.0512 wy*wz*z + 0.1268 alphay*z + -0.1145 alphaz*x + -0.3801 alphaz*y + 0.0431 alphaz*z + 0.0239 sin(phi)*xdot*wx
a_y,SINDy,run_5,UC,ElasticNet,0.05,0.3180574883041162,0.980249637793691,0.9840862580150508,22.50570867874652,16,0.17003367003367,27.2709 sin(phi)*cos(psi) + -22.9902 sin(theta)*sin(psi) + -0.0094 xdot*wy + 0.3696 xdot*wz + -0.0352 wy*wy*x + -0.0634 wy*wy*z + -0.0496 wz*wz*y + -0.1516 sin(phi)*xdot*wz + -0.0866 cos(phi)*xdot*wy + 0.3776 cos(phi)*xdot*wz + 0.5572 sin(theta)*ydot*wy + -0.0372 cos(theta)*xdot*wy + 0.3762 cos(theta)*xdot*wz + 0.0205 sin(psi)*zdot*wy + -0.3434 sign(xdot) + 0.0938 sign(zdot)
a_y,SINDy,run_1,UC,STLSQ,0.2,1.0388773538388003,0.97954652717639,0.9779951425364848,33.4116363177809,3,0.1750841750841751,-15.8473 cos(theta)*cos(psi) + -0.6636 cos(phi)*xdot*wz + 2.1963 cos(theta)*xdot*wz
a_y,SINDy,run_5,UC,STLSQ,0.2,0.2775275567884547,0.9549962951554388,0.9659652938212406,48.13293962855062,2,0.17929292929292928,1.7513 xdot*wz + -0.5520 cos(phi)*xdot*wz
a_y,SINDy,run_3,UC,STLSQ,0.1,0.2773743821369462,0.9743427097084364,0.9597673757356452,54.92464214658328,12,0.18097643097643099,-13.6963 sin(psi) + 14.7817 cos(phi)*sin(psi) + -12.8894 cos(phi)*cos(psi) + -7.4230 xdot*wy + 1.3957 xdot*wz + 7.2091 zdot*wx + -3.7436 cos(phi)*ydot*wx + -6.3589 cos(phi)*zdot*wx + 16.1297 cos(phi)*zdot*wy + 7.4034 cos(theta)*xdot*wy + 3.5617 cos(theta)*ydot*wx + -15.2386 cos(theta)*zdot*wy
a_y,SINDy,run_2,UC,LASSO,0.05,0.5211082115974646,0.976516594615914,0.9714461829652744,31.84315494057096,9,0.18771043771043772,-91.6062 cos(theta) + 12.8966 sin(phi)*cos(psi) + 0.7481 sin(theta)*cos(psi) + 0.3546 zddot + 1.1350 xdot*wz + -1.0459 wx*wy*x + 0.0722 alphaz*x + -0.2088 sin(phi)*xdot*wz + 0.3152 sin(theta)*ydot*wy
a_y,SINDy,run_2,UC,ElasticNet,0.05,0.5052313011107544,0.981441570991265,0.9804889910125418,21.75863498315916,20,0.19023569023569023,-49.3005 cos(theta) + 23.1694 sin(phi)*cos(psi) + -3.8739 sin(theta)*sin(psi) + 6.4555 sin(theta)*cos(psi) + -0.0146 xddot + 0.4299 zddot + -0.0357 xdot*wy + 0.3778 xdot*wz + -0.5653 wx*wy*x + 0.2559 alphaz*x + 0.0907 sin(phi)*xdot*wy + -0.4380 sin(phi)*xdot*wz + -0.0138 cos(phi)*xdot*wy + 0.3801 cos(phi)*xdot*wz + 0.1750 cos(phi)*zdot*wy + 1.1422 sin(theta)*ydot*wy + -0.0050 cos(theta)*xdot*wy + 0.3779 cos(theta)*xdot*wz + -0.0614 cos(psi)*xdot*wy + 0.1048 cos(psi)*zdot*wy
a_y,SINDy,run_3,UC,ElasticNet,0.05,0.1580471977189211,0.97128749911324,0.9550132817177212,61.414820638296405,15,0.19276094276094277,-32.7124 cos(theta) + 15.1331 sin(phi)*cos(psi) + -20.0579 cos(phi)*cos(theta) + -5.8891 sin(theta)*sin(psi) + 0.6047 zddot + 0.3633 xdot*wz + -0.1479 wy*wy*x + -0.9770 wx*wy*x + -0.0309 wx*wy*y + 0.1925 wx*wz*x + -0.1201 sin(phi)*xdot*wz + 0.3676 cos(phi)*xdot*wz + -0.8228 sin(theta)*xdot*wx + -0.4213 sin(theta)*xdot*wy + 0.3643 cos(theta)*xdot*wz
