model_type,library,optimizer,with_lambda,dof,dof_name,n_terms,threshold,mse_train,mse_val,mse_test,r2_test,bic,equation
SINDy,Full+λ,STLSQ,True,2,thetaddot,24,0.016681,2.2088288273460306e-17,0.00017401716662066515,0.012257566841604473,0.1745704390863042,-1595.575648577084,-1.063 xddot +  0.032 x xddot + -0.003 y xdot + -0.004 y thetadot +  0.004 y xddot +  0.051 theta xddot +  0.008 xdot xddot +  0.009 xdot yddot +  0.002 thetadot^2 +  0.008 thetadot xddot +  0.011 thetadot yddot + -0.083 xddot yddot +  0.001 sin(theta) +  0.009 cos(theta) + -0.014 cos(theta) x + -0.022 cos(theta) theta + -0.013 cos(theta) xdot + -0.011 cos(theta) thetadot
SINDy,Full+λ,SR3_L1,True,0,xddot,7,0.046416,0.004292405812313122,0.010171565522818823,0.01134442414515338,-0.2929316791472918,-875.9905361591582, 0.356 yddot + -0.185 thetaddot + -0.185 y thetaddot +  0.259 theta yddot +  0.032 xdot thetaddot + -0.052 thetadot thetaddot +  0.675 yddot^2
SINDy,Full+λ,SR3_L1,True,1,yddot,62,31.622777,1243.5218265631986,8.458521888472704e+16,1.4528537942328474e+17,-3.847634423011546e+17,8084.515548921002, 9311225.940 1 + -58867499.923 x +  2159239.159 y +  37686413.286 theta +  101098823.046 xdot +  43747555.639 ydot +  120838378.160 thetadot + -1402980218.094 xddot +  3017877109.394 thetaddot + -75966181.598 x^2 +  5920463.694 x y +  23270668.983 x theta + -83179249.009 x xdot + -1379732.420 x ydot + -162091707.325 x thetadot + -299364675.544 x xddot + -305172126.047 x thetaddot + -246238.172 y theta +  55127631.346 y xdot +  65617358.551 y thetadot +  95245553.704 y xddot + -4292009664.627 y thetaddot +  32777925.713 theta^2 +  184280187.573 theta xdot + -39622423.606 theta ydot +  76521557.436 theta thetadot +  418780605.522 theta xddot +  429822940.451 theta thetaddot +  143929793.125 xdot^2 + -21013122.417 xdot ydot + -69115312.541 xdot thetadot + -751866695.503 xdot xddot + -804275747.619 xdot thetaddot + -19705178.749 ydot thetadot +  10921886.236 ydot xddot +  9436843.663 ydot thetaddot + -214494522.857 thetadot^2 +  738444246.825 thetadot xddot +  666182606.159 thetadot thetaddot + -167345256.573 xddot^2 + -128662888.710 xddot thetaddot +  39168369.819 thetaddot^2 +  16294141.041 sin(theta) +  76696176.792 cos(theta) +  19804675.824 sin(theta) x + -20580975.517 sin(theta) y +  18415894.375 sin(theta) theta + -83399185.285 sin(theta) xdot +  2431197.469 sin(theta) ydot + -81682229.283 sin(theta) thetadot +  219809483.350 sin(theta) xddot +  220596902.540 sin(theta) thetaddot + -48771458.913 cos(theta) x + -26100741.993 cos(theta) y + -100553516.580 cos(theta) theta + -214958757.561 cos(theta) xdot +  7402546.915 cos(theta) ydot + -213802141.533 cos(theta) thetadot + -69990633.746 cos(theta) xddot + -74383961.592 cos(theta) thetaddot + -3309364.276 lambda_N + -5099860.437 lambda_F
SINDy,Full+λ,SR3_L1,True,2,thetaddot,18,0.001585,1.702018784928632e-05,0.0002419440370196623,0.015010016628132162,-0.010780654494447317,-1561.7545311514873,-0.008 x +  0.005 theta + -0.855 xddot + -0.008 x^2 +  0.004 y xdot + -0.007 y thetadot + -0.110 y xddot + -0.060 theta xddot +  0.006 xdot xddot +  0.001 ydot thetadot + -0.001 ydot xddot + -0.003 thetadot xddot + -0.085 xddot yddot + -0.024 cos(theta) +  0.006 cos(theta) y +  0.009 cos(theta) theta +  0.004 cos(theta) xddot
SINDy,Full+λ,LASSO,True,0,xddot,6,0.01,3.883166821024236e-06,0.002863298650636713,0.0039979559959477315,0.5443502558738476,-1133.5405789926413,-0.714811 thetaddot -0.006864 y thetaddot -0.019816 thetadot thetaddot -0.223118 cos(theta) xdot +0.017730 cos(theta) thetadot +0.019108 lambda_N
SINDy,Full+λ,LASSO,True,1,yddot,10,0.003981,0.0016691275215536877,0.0007213777499556628,0.06167993007738259,0.8366512699923836,-1386.702130687438,+0.004580 x^2 -0.056674 x y -0.038117 x theta +0.018545 y ydot +0.003813 theta^2 +0.039095 ydot thetaddot -0.210953 cos(theta) x +0.000690 cos(theta) xddot -0.012546 cos(theta) thetaddot +0.672860 lambda_N
SINDy,Full+λ,LASSO,True,2,thetaddot,1,0.599484,0.12167770368049238,0.015694731670424695,0.043637957886967935,-1.9385979194134575,-821.4383020569136,-0.397597 xddot
SINDy,Full+λ,Ridge,True,0,xddot,64,0.129155,7.982574266738696e-09,0.0010415520025218931,0.08553798415509409,-8.748821806153032,-1027.7701214695016,-0.001873 x -0.002961 y +0.003041 theta +0.002308 xdot -0.001806 ydot -0.006343 thetadot +0.003874 yddot -0.090799 thetaddot +0.005068 x^2 -0.007203 x y -0.004186 x theta +0.019138 x xdot +0.012870 x ydot -0.017772 x thetadot -0.037321 x yddot +0.066345 x thetaddot +0.000307 y^2 +0.003480 y theta -0.027898 y xdot -0.001590 y ydot +0.023263 y thetadot -0.006650 y yddot -0.090799 y thetaddot +0.004259 theta^2 -0.013413 theta xdot -0.002449 theta ydot +0.011138 theta thetadot +0.008348 theta yddot -0.074279 theta thetaddot -0.007991 xdot^2 -0.001187 xdot ydot +0.013198 xdot thetadot -0.011482 xdot yddot +0.102140 xdot thetaddot +0.001322 ydot^2 -0.025727 ydot thetadot +0.008419 ydot yddot -0.042011 ydot thetaddot -0.019312 thetadot^2 +0.007899 thetadot yddot -0.110656 thetadot thetaddot -0.004059 yddot^2 -0.000068 yddot thetaddot +0.035324 thetaddot^2 +0.015356 sin(theta) +0.042639 cos(theta) +0.024064 sin(theta) x -0.001055 sin(theta) y -0.008975 sin(theta) theta -0.017036 sin(theta) xdot -0.005148 sin(theta) ydot +0.019792 sin(theta) thetadot -0.010023 sin(theta) yddot +0.066643 sin(theta) thetaddot -0.049020 cos(theta) x +0.015463 cos(theta) y +0.045535 cos(theta) theta -0.078810 cos(theta) xdot -0.023572 cos(theta) ydot +0.083263 cos(theta) thetadot -0.005710 cos(theta) yddot -0.010637 cos(theta) thetaddot +0.010402 lambda_N +0.018414 lambda_F
SINDy,Full+λ,Ridge,True,1,yddot,64,3.162278,0.0016356790229095845,0.0035715885862766597,0.3666955975920166,0.028869518968467123,-782.5427064207094,-0.050795 x -0.019497 y +0.051488 theta +0.007446 xdot +0.043695 ydot -0.014206 thetadot +0.020035 xddot -0.010261 thetaddot +0.062418 x^2 -0.052967 x y -0.059108 x theta +0.030468 x xdot -0.021499 x ydot -0.027675 x thetadot -0.021018 x xddot +0.020957 x thetaddot -0.070505 y^2 +0.019218 y theta +0.017159 y xdot +0.004227 y ydot -0.024317 y thetadot +0.020212 y xddot -0.010261 y thetaddot +0.057632 theta^2 -0.018492 theta xdot +0.044317 theta ydot +0.014294 theta thetadot +0.020507 theta xddot -0.017060 theta thetaddot +0.008266 xdot^2 +0.025395 xdot ydot -0.001309 xdot thetadot -0.007972 xdot xddot +0.003793 xdot thetaddot +0.004188 ydot^2 -0.036012 ydot thetadot +0.010282 ydot xddot +0.142657 ydot thetaddot -0.005988 thetadot^2 +0.013114 thetadot xddot -0.009046 thetadot thetaddot -0.040179 xddot^2 +0.039422 xddot thetaddot -0.039422 thetaddot^2 -0.012629 sin(theta) +0.054388 cos(theta) -0.026055 sin(theta) x -0.020160 sin(theta) y +0.012229 sin(theta) theta +0.068058 sin(theta) xdot +0.044296 sin(theta) ydot -0.065532 sin(theta) thetadot +0.037184 sin(theta) xddot -0.022601 sin(theta) thetaddot -0.028976 cos(theta) x +0.038164 cos(theta) y +0.039877 cos(theta) theta -0.071056 cos(theta) xdot -0.001728 cos(theta) ydot +0.076361 cos(theta) thetadot -0.019512 cos(theta) xddot +0.012539 cos(theta) thetaddot +0.166792 lambda_N -0.041698 lambda_F
SINDy,Full+λ,Ridge,True,2,thetaddot,64,0.0001,3.500930914150938e-10,0.01420452410752891,0.11415911837115908,-6.687521689179388,-507.8132496506555,-0.010325 x -0.002620 y +0.007714 theta -0.006212 xdot -0.001088 ydot +0.009266 thetadot -0.151630 xddot +0.005424 yddot +0.014577 x^2 +0.008253 x y -0.013064 x theta -0.027215 x xdot -0.011290 x ydot +0.036047 x thetadot +0.120636 x xddot -0.001535 x yddot -0.000211 y^2 -0.016094 y theta +0.037638 y xdot +0.000182 y ydot -0.033259 y thetadot -0.126388 y xddot -0.027380 y yddot +0.011060 theta^2 +0.019350 theta xdot -0.000685 theta ydot -0.024713 theta thetadot -0.130045 theta xddot +0.006195 theta yddot +0.019386 xdot^2 +0.035031 xdot ydot -0.020206 xdot thetadot +0.090082 xdot xddot -0.035798 xdot yddot -0.013677 ydot^2 +0.025964 ydot thetadot -0.018592 ydot xddot +0.008174 ydot yddot +0.025410 thetadot^2 -0.155057 thetadot xddot +0.038957 thetadot yddot -0.000196 xddot^2 -0.039898 xddot yddot -0.004591 yddot^2 -0.041019 sin(theta) -0.048691 cos(theta) +0.026123 sin(theta) x -0.009187 sin(theta) y -0.037089 sin(theta) theta -0.039381 sin(theta) xdot +0.023644 sin(theta) ydot +0.047824 sin(theta) thetadot +0.007446 sin(theta) xddot +0.007722 sin(theta) yddot +0.075389 cos(theta) x +0.016742 cos(theta) y -0.062331 cos(theta) theta +0.063787 cos(theta) xdot +0.015022 cos(theta) ydot -0.099868 cos(theta) thetadot -0.015302 cos(theta) xddot -0.018401 cos(theta) yddot +0.024060 lambda_N +0.016046 lambda_F
