model_type,library,optimizer,with_lambda,dof,dof_name,n_terms,threshold,mse_train,mse_val,mse_test,r2_test,ate,equation
Lagrange,Lagrange,Lasso,False,1,yddot,15,0.0001,,,9.914201122658773e-06,,,"T = +1.000000*xdot^2 +0.019139*thetadot^2 -0.044167*xdot ydot +0.297718*xdot thetadot -0.001451*ydot thetadot -0.020837*xdot thetadot sin(theta) +0.006375*xdot thetadot cos(theta) +0.001666*ydot thetadot sin(theta) -0.000295*ydot thetadot cos(theta) -0.003859*thetadot^2 sin(theta) +0.000255*thetadot^2 cos(theta)
V = -0.004067*y +0.009673*sin(theta) -0.002910*y cos(theta) +0.026369*x"
Lagrange,Lagrange,Lasso,False,2,thetaddot,15,0.0001,,,0.000314393643797864,,,"T = +1.000000*xdot^2 +0.019139*thetadot^2 -0.044167*xdot ydot +0.297718*xdot thetadot -0.001451*ydot thetadot -0.020837*xdot thetadot sin(theta) +0.006375*xdot thetadot cos(theta) +0.001666*ydot thetadot sin(theta) -0.000295*ydot thetadot cos(theta) -0.003859*thetadot^2 sin(theta) +0.000255*thetadot^2 cos(theta)
V = -0.004067*y +0.009673*sin(theta) -0.002910*y cos(theta) +0.026369*x"
Lagrange,Lagrange,Ridge,False,0,xddot,20,0.1,,,0.019017394632272644,,,"T = +1.000000*xdot^2 -0.000282*ydot^2 +0.019076*thetadot^2 -0.046153*xdot ydot +0.294048*xdot thetadot -0.000736*ydot thetadot -0.021917*xdot thetadot sin(theta) +0.006799*xdot thetadot cos(theta) +0.001803*ydot thetadot sin(theta) -0.000478*ydot thetadot cos(theta) -0.003951*thetadot^2 sin(theta) +0.000314*thetadot^2 cos(theta)
V = -0.004016*y +0.009242*sin(theta) +0.000388*cos(theta) +0.000737*y sin(theta) -0.003532*y cos(theta) +0.000431*sin(theta)^2 +0.000073*y^2 +0.028902*x"
Lagrange,Lagrange,Ridge,False,1,yddot,20,0.1,,,8.884968641358238e-06,,,"T = +1.000000*xdot^2 -0.000282*ydot^2 +0.019076*thetadot^2 -0.046153*xdot ydot +0.294048*xdot thetadot -0.000736*ydot thetadot -0.021917*xdot thetadot sin(theta) +0.006799*xdot thetadot cos(theta) +0.001803*ydot thetadot sin(theta) -0.000478*ydot thetadot cos(theta) -0.003951*thetadot^2 sin(theta) +0.000314*thetadot^2 cos(theta)
V = -0.004016*y +0.009242*sin(theta) +0.000388*cos(theta) +0.000737*y sin(theta) -0.003532*y cos(theta) +0.000431*sin(theta)^2 +0.000073*y^2 +0.028902*x"
Lagrange,Lagrange,Ridge,False,2,thetaddot,20,0.1,,,0.0003216920681836321,,,"T = +1.000000*xdot^2 -0.000282*ydot^2 +0.019076*thetadot^2 -0.046153*xdot ydot +0.294048*xdot thetadot -0.000736*ydot thetadot -0.021917*xdot thetadot sin(theta) +0.006799*xdot thetadot cos(theta) +0.001803*ydot thetadot sin(theta) -0.000478*ydot thetadot cos(theta) -0.003951*thetadot^2 sin(theta) +0.000314*thetadot^2 cos(theta)
V = -0.004016*y +0.009242*sin(theta) +0.000388*cos(theta) +0.000737*y sin(theta) -0.003532*y cos(theta) +0.000431*sin(theta)^2 +0.000073*y^2 +0.028902*x"
Lagrange,Lagrange,ElasticNet,False,0,xddot,10,0.05,,,0.01683464467002407,,,"T = +1.000000*xdot^2 +0.012699*thetadot^2 -0.012921*xdot ydot +0.283856*xdot thetadot -0.000202*ydot thetadot -0.029139*xdot thetadot sin(theta) +0.006033*xdot thetadot cos(theta) -0.003275*thetadot^2 sin(theta)
V = -0.003459*y +0.008467*sin(theta)"
Lagrange,Lagrange,ElasticNet,False,1,yddot,10,0.05,,,1.5434309147521193e-05,,,"T = +1.000000*xdot^2 +0.012699*thetadot^2 -0.012921*xdot ydot +0.283856*xdot thetadot -0.000202*ydot thetadot -0.029139*xdot thetadot sin(theta) +0.006033*xdot thetadot cos(theta) -0.003275*thetadot^2 sin(theta)
V = -0.003459*y +0.008467*sin(theta)"
Lagrange,Lagrange,ElasticNet,False,2,thetaddot,10,0.05,,,0.0003839608560837317,,,"T = +1.000000*xdot^2 +0.012699*thetadot^2 -0.012921*xdot ydot +0.283856*xdot thetadot -0.000202*ydot thetadot -0.029139*xdot thetadot sin(theta) +0.006033*xdot thetadot cos(theta) -0.003275*thetadot^2 sin(theta)
V = -0.003459*y +0.008467*sin(theta)"
Lagrange,Lagrange,STLSQ,False,0,xddot,17,0.1,,,0.019023859865193032,,,"T = +1.000000*xdot^2 -0.000260*ydot^2 +0.019278*thetadot^2 -0.046158*xdot ydot +0.294042*xdot thetadot -0.001127*ydot thetadot -0.021918*xdot thetadot sin(theta) +0.006799*xdot thetadot cos(theta) +0.001705*ydot thetadot sin(theta) -0.000446*ydot thetadot cos(theta) -0.003786*thetadot^2 sin(theta) +0.000232*thetadot^2 cos(theta)
V = -0.003754*y +0.009361*sin(theta) +0.000690*y sin(theta) -0.003402*y cos(theta) +0.029007*x"
Lagrange,Lagrange,STLSQ,False,1,yddot,17,0.1,,,8.583242270347952e-06,,,"T = +1.000000*xdot^2 -0.000260*ydot^2 +0.019278*thetadot^2 -0.046158*xdot ydot +0.294042*xdot thetadot -0.001127*ydot thetadot -0.021918*xdot thetadot sin(theta) +0.006799*xdot thetadot cos(theta) +0.001705*ydot thetadot sin(theta) -0.000446*ydot thetadot cos(theta) -0.003786*thetadot^2 sin(theta) +0.000232*thetadot^2 cos(theta)
V = -0.003754*y +0.009361*sin(theta) +0.000690*y sin(theta) -0.003402*y cos(theta) +0.029007*x"
Lagrange,Lagrange,STLSQ,False,2,thetaddot,17,0.1,,,0.0003160898549780215,,,"T = +1.000000*xdot^2 -0.000260*ydot^2 +0.019278*thetadot^2 -0.046158*xdot ydot +0.294042*xdot thetadot -0.001127*ydot thetadot -0.021918*xdot thetadot sin(theta) +0.006799*xdot thetadot cos(theta) +0.001705*ydot thetadot sin(theta) -0.000446*ydot thetadot cos(theta) -0.003786*thetadot^2 sin(theta) +0.000232*thetadot^2 cos(theta)
V = -0.003754*y +0.009361*sin(theta) +0.000690*y sin(theta) -0.003402*y cos(theta) +0.029007*x"
